stim,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,text.started,text.stopped,kbRight.started,kbRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rest_image.started,rest_image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,kbLeft.started,kbLeft.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_2.started,text_2.stopped,sbj,hndns,eye,sex,age,edu,session,date,expName,psychopyVersion,frameRate,
50.bmp,"(-2, -6.92)","(7, 7)",0,35,35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5676572000375,None,102.06733620003797,102.11741840001196,p,0.5855282000266016,102.06733620003797,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(-2, 6.92)","(7, 7)",0,36,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.68333619995974,None,103.18301799998153,103.23291240003891,o,0.7872255000984296,103.18301799998153,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(4, 0)","(7, 7)",0,37,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.99877339997329,None,104.49843509995844,104.54845420003403,o,0.7213473999872804,104.49843509995844,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(0, 7)","(10.5, 10.5)",0,38,38,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.24769099999685,None,105.74745899997652,105.79720120003913,o,0.6932306999806315,105.74745899997652,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,39,39,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4633593999315,None,106.96304259996396,107.01284580002539,p,0.6196610999759287,106.96304259996396,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(4, 0)","(7, 7)",0,40,40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.61252439999953,None,108.11192079994362,108.16187099996023,p,0.8096351999556646,108.11192079994362,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(-6.06, 3.5)","(10.5, 10.5)",0,41,41,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9445745999692,None,109.44518369995058,109.49447769997641,p,0.5884988000616431,109.44518369995058,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(6.06, -3.5)","(10.5, 10.5)",0,42,42,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06033180002123,None,110.5601037000306,110.60981840000022,o,0.7620080000488088,110.5601037000306,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(-4, 0)","(7, 7)",0,43,43,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.34260879992507,None,111.84231450001244,111.89213269995525,p,0.6106878001010045,111.84231450001244,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
50.bmp,"(0, 7)","(10.5, 10.5)",0,44,44,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.47475219995249,None,112.97406949999277,113.02391650003847,o,0.580295899999328,112.97406949999277,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,45,45,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.57369859993923,None,114.07344459998421,114.123594100005,o,0.6338324000826105,114.07344459998421,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(-2, 6.92)","(7, 7)",0,46,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.73926239996217,None,115.23870819993317,115.28875750000589,o,0.5103386999107897,115.23870819993317,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(0, -7)","(10.5, 10.5)",0,47,47,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.77188190002926,None,116.27153819997329,116.32139149995055,p,0.6275374999968335,116.27153819997329,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(4, 0)","(7, 7)",0,48,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.92116110003553,None,117.42024060001131,117.47012489999179,p,0.6446412999648601,117.42024060001131,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(-4, 0)","(7, 7)",0,49,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.08662179997191,None,118.58569989993703,118.63608580001164,p,0.5742445000214502,118.58569989993703,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(2, -6.92)","(7, 7)",0,50,50,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.18583410000429,None,119.70160649996251,119.75144080002792,p,0.5709001999348402,119.70160649996251,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(-2, -6.92)","(7, 7)",0,51,51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.30150379997212,None,120.8012225999264,120.85092779994011,p,0.5658916999818757,120.8012225999264,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(-2, 6.92)","(7, 7)",0,52,52,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.3838897999376,None,121.88313450000715,121.93300950003322,p,0.6407286999747157,121.88313450000715,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(0, 7)","(10.5, 10.5)",0,53,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.54933629999869,None,123.04913169995416,123.09908770001493,o,0.43902020005043596,123.04913169995416,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
50.bmp,"(-6.06, 3.5)","(10.5, 10.5)",0,54,54,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.51512090000324,None,124.01470749999862,124.06493170000613,o,0.462147600017488,124.01470749999862,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(0, -7)","(10.5, 10.5)",0,55,55,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.49734539992642,None,124.99727369996253,125.04757609998342,p,0.45769640000071377,124.99727369996253,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(-4, 0)","(7, 7)",0,56,56,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.48032850003801,None,125.97957570001017,126.02948509994894,p,0.6627246999414638,125.97957570001017,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(-2, -6.92)","(7, 7)",0,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.66217649995815,None,127.16201400000136,127.21191249997355,p,0.7767482999479398,127.16201400000136,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(2, -6.92)","(7, 7)",0,58,58,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.96133019996341,None,128.46072289999574,128.51083509996533,o,0.7688453000737354,128.46072289999574,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(-6.06, 3.5)","(10.5, 10.5)",0,59,59,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.26040010002907,None,129.7594165999908,129.8096534999786,o,0.8221493000164628,129.7594165999908,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
50.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,60,60,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6089550999459,None,131.10877960000653,131.15845759992953,p,0.7087251000339165,131.10877960000653,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(0, -7)","(10.5, 10.5)",0,61,61,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8412748000119,None,132.34077499993145,132.39046539994888,p,0.8015370999928564,132.34077499993145,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
50.bmp,"(-4, 0)","(7, 7)",0,62,62,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1734878999414,None,133.67280759999994,133.72314310004003,o,0.8389870000537485,133.67280759999994,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,63,63,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.53891490004025,None,135.03863660001662,135.08828399993945,p,0.7345551999751478,135.03863660001662,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(-2, -6.92)","(7, 7)",0,64,64,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.80471089994535,None,136.3039963999763,136.35418839997146,o,0.9316825999412686,136.3039963999763,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(-4, 0)","(7, 7)",0,65,65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.25326479994692,None,137.7528684999561,137.80234840000048,p,0.7048700000159442,137.7528684999561,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
