stim,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,text.started,text.stopped,kbRight.started,kbRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rest_image.started,rest_image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,kbLeft.started,kbLeft.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_2.started,text_2.stopped,sbj,hndns,eye,sex,age,edu,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.14396030001808,None,37.15723699994851,None,space,27.02113280002959,37.15723699994851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(2, 6.92)","(7, 7)",0,0,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22614139993675,None,64.71646399993915,64.76661079993937,o,0.7065791999921203,64.71646399993915,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.44913149997592,None,65.94832920003682,65.99887060001493,p,0.4967412000987679,65.94832920003682,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(4, 0)","(7, 7)",0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.46534330002032,None,66.96462510002311,67.0144196000183,o,0.6612756999675184,66.96462510002311,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(0, 0)","(4.375, 4.375)",0,3,3,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.64729709993117,None,68.14648450003006,68.19652799994219,o,0.5383141000056639,68.14648450003006,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(-2, -6.92)","(7, 7)",0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.71330589998979,None,69.21244549995754,69.26252560003195,o,0.45785879995673895,69.21244549995754,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(-6.06, 3.5)","(10.5, 10.5)",0,5,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.69571679993533,None,70.19533280003816,70.24503059999552,p,0.6469824000960216,70.19533280003816,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(2, 6.92)","(7, 7)",0,6,6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86122329998761,None,71.36085399996955,71.41061210003681,p,0.4793882999802008,71.36085399996955,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(0, 0)","(4.375, 4.375)",0,7,7,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.86009520001244,None,72.3596895999508,72.40978280000854,o,0.39685350004583597,72.3596895999508,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(2, 6.92)","(7, 7)",0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77625250001438,None,73.27598030003719,73.32571390003432,p,0.45296819997020066,73.27598030003719,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(2, 6.92)","(7, 7)",0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.75869639997836,None,74.25842780002858,74.30832930002362,p,0.5882702999515459,74.25842780002858,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(-2, 6.92)","(7, 7)",0,10,10,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.87403239996638,None,75.37405610003043,75.42370819998905,p,1.0224906000075862,75.37405610003043,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(2, -6.92)","(7, 7)",0,11,11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4229685999453,None,76.92292429995723,76.97261019994039,o,0.5633819000795484,76.92292429995723,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(6.06, -3.5)","(10.5, 10.5)",0,12,12,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.50546959997155,None,78.00503190001473,78.05474499997217,o,0.4885588000761345,78.00503190001473,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(2, -6.92)","(7, 7)",0,13,13,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.52145919995382,None,79.02075719996355,79.07041809998918,o,0.5181671999162063,79.02075719996355,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(6.06, -3.5)","(10.5, 10.5)",0,14,14,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.57006990001537,None,80.06985530001111,80.1199493999593,p,0.45566130010411143,80.06985530001111,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
80.bmp,"(0, 7)","(10.5, 10.5)",0,15,15,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55261989997234,None,81.05232909996994,81.1024449999677,p,0.45978729997295886,81.05232909996994,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(4, 0)","(7, 7)",0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.53488619998097,None,82.03484750003554,82.08469339995645,o,0.3779753000708297,82.03484750003554,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(6.06, -3.5)","(10.5, 10.5)",0,17,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.43473159999121,None,82.93407650000881,82.98401539993938,o,0.6622960000531748,82.93407650000881,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(0, 0)","(4.375, 4.375)",0,18,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.61661199992523,None,84.11647260002792,84.16604129993357,o,0.4860896000172943,84.11647260002792,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(-2, -6.92)","(7, 7)",0,19,19,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.63248239993118,None,85.13201079994906,85.18195979995653,p,0.49154950003139675,85.13201079994906,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(2, 6.92)","(7, 7)",0,20,20,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.64860900002532,None,86.16407119994983,86.2143606999889,p,0.34037290001288056,86.16407119994983,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(-6.06, 3.5)","(10.5, 10.5)",0,21,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.53094229998533,None,87.03026589995716,87.0805551999947,p,0.5609804000705481,87.03026589995716,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(2, -6.92)","(7, 7)",0,22,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.61328429996502,None,88.11275640001986,88.16279840003699,p,0.5462961999000981,88.11275640001986,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(-4, 0)","(7, 7)",0,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.67883410002105,None,89.17828610003926,89.22846849996131,p,0.5757271000184119,89.17828610003926,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(-6.06, -3.5)","(10.5, 10.5)",0,24,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7781652000267,None,90.27750510000624,90.32743880001362,p,1.2469112999970093,90.27750510000624,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(0, 7)","(10.5, 10.5)",0,25,25,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54332279996015,None,92.04261749994475,92.09263089997694,p,0.4494856999954209,92.04261749994475,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
10.bmp,"(0, 7)","(10.5, 10.5)",0,26,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5088126999326,None,93.00861679995432,93.05834650003817,p,0.428562100045383,93.00861679995432,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
30.bmp,"(6.06, 3.5)","(10.5, 10.5)",0,27,27,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.45808080001734,None,93.95762789994478,94.00772069999948,p,0.568001399980858,93.95762789994478,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
60.bmp,"(0, 7)","(10.5, 10.5)",0,28,28,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.55713460000698,None,95.05621870001778,95.10625399998389,o,0.34644410002510995,95.05621870001778,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
20.bmp,"(0, 7)","(10.5, 10.5)",0,29,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42341019993182,None,95.922845199937,95.97273839998525,o,0.41998260002583265,95.922845199937,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(4, 0)","(7, 7)",0,30,30,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.37217570003122,None,96.87208769994322,96.92183759994805,o,0.5326674999669194,96.87208769994322,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
40.bmp,"(-2, 6.92)","(7, 7)",0,31,31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.42123460001312,None,97.92094849993009,97.97069470002316,o,0.5275790999876335,97.92094849993009,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
0.bmp,"(-4, 0)","(7, 7)",0,32,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47037260001525,None,98.9699298000196,99.01989719993435,o,0.5158340999623761,98.9699298000196,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(-2, 6.92)","(7, 7)",0,33,33,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.50295090000145,None,100.00246039999183,100.05239229998551,o,0.6545804999768734,100.00246039999183,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
70.bmp,"(-2, -6.92)","(7, 7)",0,34,34,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.68528899992816,None,101.18485279998276,101.23484369996004,p,0.3536084999796003,101.18485279998276,None,,,,,,,,,,,,,,,,,,,,,810199275,r,l,m,25,3,001,2022-03-07_23h19.49.602,HW1,2022.1.1,59.974870533394146,
