stim,pos,size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,text.started,text.stopped,kbRight.started,kbRight.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rest_image.started,rest_image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,kbLeft.started,kbLeft.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_2.started,text_2.stopped,sbj,hndns,eye,sex,age,edu,session,date,expName,psychopyVersion,frameRate,
20.bmp,"(-6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,39,156,35,,,,,,,,,,,,,,,,,,,,,,,,,1944.1319189999485,None,1944.6313408999704,1944.6814324000152,p,0.48807610000949353,1944.6313408999704,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(-6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,40,157,9,,,,,,,,,,,,,,,,,,,,,,,,,1945.1481176000088,None,1945.647173199919,1945.6972350999713,o,0.42836060002446175,1945.647173199919,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,41,158,46,,,,,,,,,,,,,,,,,,,,,,,,,1946.0967373999301,None,1946.5966610999312,1946.6463337999303,p,0.570667100022547,1946.5966610999312,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,42,159,7,,,,,,,,,,,,,,,,,,,,,,,,,1947.195934599964,None,1947.695306199952,1947.7455302999588,p,0.40725589997600764,1947.695306199952,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
10.bmp,"(-2, -6.92)","(7, 7)",,,,,,,,,,,,,1,43,160,18,,,,,,,,,,,,,,,,,,,,,,,,,1948.1281676000217,None,1948.6280757000204,1948.6780799999833,p,0.4138180000009015,1948.6280757000204,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(-4, 0)","(7, 7)",,,,,,,,,,,,,1,44,161,108,,,,,,,,,,,,,,,,,,,,,,,,,1949.0611800999613,None,1949.5605097999796,1949.6105157999555,p,0.3845590999117121,1949.5605097999796,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,45,162,85,,,,,,,,,,,,,,,,,,,,,,,,,1949.976781199919,None,1950.476070499979,1950.525815699948,o,0.6488114999374375,1950.476070499979,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(2, -6.92)","(7, 7)",,,,,,,,,,,,,1,46,163,110,,,,,,,,,,,,,,,,,,,,,,,,,1951.1425727999303,None,1951.6419894999126,1951.6920575000113,p,0.47782550007104874,1951.6419894999126,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
40.bmp,"(0, 0)","(4.375, 4.375)",,,,,,,,,,,,,1,47,164,52,,,,,,,,,,,,,,,,,,,,,,,,,1952.141499799909,None,1952.6407361999154,1952.690598599962,p,0.5440385999390855,1952.6407361999154,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,48,165,72,,,,,,,,,,,,,,,,,,,,,,,,,1953.207342699985,None,1953.7071984999347,1953.7567648999393,p,0.4108249000273645,1953.7071984999347,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,49,166,27,,,,,,,,,,,,,,,,,,,,,,,,,1954.139764099964,None,1954.6394541999325,1954.6895030000014,p,0.703561499947682,1954.6394541999325,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(0, -7)","(10.5, 10.5)",,,,,,,,,,,,,1,50,167,102,,,,,,,,,,,,,,,,,,,,,,,,,1955.3724000999937,None,1955.8717857999727,1955.9216695999494,o,0.5977417000103742,1955.8717857999727,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(2, -6.92)","(7, 7)",,,,,,,,,,,,,1,51,168,71,,,,,,,,,,,,,,,,,,,,,,,,,1956.4876411999576,None,1956.9874436999671,1957.0370190999238,p,0.5639200999867171,1956.9874436999671,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(-4, 0)","(7, 7)",,,,,,,,,,,,,1,52,169,4,,,,,,,,,,,,,,,,,,,,,,,,,1957.5701538999565,None,1958.069685399998,1958.119913799921,o,0.885070399963297,1958.069685399998,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,53,170,116,,,,,,,,,,,,,,,,,,,,,,,,,1958.9857381000184,None,1959.484846199979,1959.5350741000148,p,0.8193390000378713,1959.484846199979,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,54,171,111,,,,,,,,,,,,,,,,,,,,,,,,,1960.334589599981,None,1960.8342290999135,1960.8840506999986,o,0.678747299942188,1960.8342290999135,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(-4, 0)","(7, 7)",,,,,,,,,,,,,1,55,172,30,,,,,,,,,,,,,,,,,,,,,,,,,1961.532942299964,None,1962.0332067999989,1962.0828576999484,p,0.6452816999517381,1962.0332067999989,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(-6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,56,173,48,,,,,,,,,,,,,,,,,,,,,,,,,1962.6990920999087,None,1963.1985645999666,1963.2487163000042,p,0.5459700999781489,1963.1985645999666,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
0.bmp,"(0, 0)","(4.375, 4.375)",,,,,,,,,,,,,1,57,174,0,,,,,,,,,,,,,,,,,,,,,,,,,1963.7644785000011,None,1964.2644271999598,1964.3143416999374,p,0.6103528999956325,1964.2644271999598,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(0, 7)","(10.5, 10.5)",,,,,,,,,,,,,1,58,175,47,,,,,,,,,,,,,,,,,,,,,,,,,1964.8972670999356,None,1965.3967766999267,1965.446623899974,o,0.44804339995607734,1965.3967766999267,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(-2, -6.92)","(7, 7)",,,,,,,,,,,,,1,59,176,44,,,,,,,,,,,,,,,,,,,,,,,,,1965.8628967999248,None,1966.3627606999362,1966.4124243999831,p,0.46937849989626557,1966.3627606999362,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(0, 0)","(4.375, 4.375)",,,,,,,,,,,,,1,60,177,26,,,,,,,,,,,,,,,,,,,,,,,,,1966.8622083999217,None,1967.3620244999183,1967.4115930999396,p,0.5754569000564516,1967.3620244999183,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
10.bmp,"(0, -7)","(10.5, 10.5)",,,,,,,,,,,,,1,61,178,24,,,,,,,,,,,,,,,,,,,,,,,,,1967.9612495999318,None,1968.4603749000235,1968.5106052999618,p,0.45459840004332364,1968.4603749000235,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
40.bmp,"(6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,62,179,64,,,,,,,,,,,,,,,,,,,,,,,,,1968.9436323000118,None,1969.443195699947,1969.493188399938,p,0.6596890999935567,1969.443195699947,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(2, -6.92)","(7, 7)",,,,,,,,,,,,,1,63,180,45,,,,,,,,,,,,,,,,,,,,,,,,,1970.1258372999728,None,1970.625187199912,1970.6753005000064,o,0.7567322000395507,1970.625187199912,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
60.bmp,"(0, 7)","(10.5, 10.5)",,,,,,,,,,,,,1,64,181,86,,,,,,,,,,,,,,,,,,,,,,,,,1971.4081635000184,None,1971.9075623999815,1971.9575854999712,p,0.414148100069724,1971.9075623999815,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(-4, 0)","(7, 7)",,,,,,,,,,,,,1,65,182,43,,,,,,,,,,,,,,,,,,,,,,,,,1972.3409329999704,None,1972.8566972999834,1972.9068149999948,o,0.4677638999419287,1972.8566972999834,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(-6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,66,183,36,,,,,,,,,,,,,,,,,,,,,,,,,1973.3563750999747,None,1973.855833599926,1973.9054037999595,p,0.32062480004969984,1973.855833599926,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
10.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,67,184,14,,,,,,,,,,,,,,,,,,,,,,,,,1974.2057490999578,None,1974.705254499917,1974.7552087999647,o,0.664057599962689,1974.705254499917,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
20.bmp,"(2, -6.92)","(7, 7)",,,,,,,,,,,,,1,68,185,32,,,,,,,,,,,,,,,,,,,,,,,,,1975.3879532999126,None,1975.8874800999183,1975.937707599951,p,1.547628300031647,1975.8874800999183,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(-6.06, 3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,69,186,100,,,,,,,,,,,,,,,,,,,,,,,,,1977.4529298999114,None,1977.952559199999,1978.0026721999748,o,0.7339856999460608,1977.952559199999,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
30.bmp,"(-2, 6.92)","(7, 7)",,,,,,,,,,,,,1,70,187,42,,,,,,,,,,,,,,,,,,,,,,,,,1978.71861979994,None,1979.2179158999352,1979.2679666000186,p,0.636765299947001,1979.2179158999352,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
80.bmp,"(-6.06, -3.5)","(10.5, 10.5)",,,,,,,,,,,,,1,71,188,114,,,,,,,,,,,,,,,,,,,,,,,,,1979.8841949999332,None,1980.3837140999967,1980.4335519999731,o,0.8725906000472605,1980.3837140999967,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(-2, -6.92)","(7, 7)",,,,,,,,,,,,,1,72,189,70,,,,,,,,,,,,,,,,,,,,,,,,,1981.2826751999091,None,1981.7820162000135,1981.8320784999523,o,1.1218709000386298,1981.7820162000135,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
40.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,73,190,53,,,,,,,,,,,,,,,,,,,,,,,,,1982.9312619999982,None,1983.4310578999575,1983.4811206000159,p,0.593597500002943,1983.4310578999575,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(0, 7)","(10.5, 10.5)",,,,,,,,,,,,,1,74,191,73,,,,,,,,,,,,,,,,,,,,,,,,,1984.0467336999718,None,1984.5466944000218,1984.5966496999608,o,0.9634640000294894,1984.5466944000218,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
50.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,75,192,66,,,,,,,,,,,,,,,,,,,,,,,,,1985.5291495999554,None,1986.0285535999574,1986.0788061999483,p,0.8537208000198007,1986.0285535999574,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(0, 0)","(4.375, 4.375)",,,,,,,,,,,,,1,76,193,91,,,,,,,,,,,,,,,,,,,,,,,,,1986.9114972000243,None,1987.4109126999974,1987.4605674999766,o,0.6362571000354365,1987.4109126999974,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
70.bmp,"(4, 0)","(7, 7)",,,,,,,,,,,,,1,77,194,92,,,,,,,,,,,,,,,,,,,,,,,,,1988.0770069999853,None,1988.5761816999875,1988.626147700008,p,0.7313686999259517,1988.5761816999875,None,,,,,,,,,,,,,,,,,,,,,8101992752,r,r,m,23,3,001,2022-03-07_22h08.46.789,HW1,2022.1.1,60.10485892365922,
