sbj	stim	rt	key	pos	uhnd	hndns	eye	sex	age	edu
8101992752	80.bmp	0.9321473	q	4	l	r	l	m	25	3
8101992752	30.bmp	0.5571155	w	5	l	r	l	m	25	3
8101992752	30.bmp	0.8490499	w	12	l	r	l	m	25	3
8101992752	50.bmp	0.7553589	w	7	l	r	l	m	25	3
8101992752	70.bmp	0.7490232	w	6	l	r	l	m	25	3
8101992752	0.bmp	0.6863563	w	11	l	r	l	m	25	3
8101992752	70.bmp	0.54369	q	3	l	r	l	m	25	3
8101992752	70.bmp	0.6549063	w	11	l	r	l	m	25	3
8101992752	0.bmp	0.723548	q	6	l	r	l	m	25	3
8101992752	10.bmp	0.5921912	w	13	l	r	l	m	25	3
8101992752	30.bmp	0.6507724	q	8	l	r	l	m	25	3
8101992752	10.bmp	0.6095056	w	11	l	r	l	m	25	3
8101992752	30.bmp	0.5543608	w	13	l	r	l	m	25	3
8101992752	20.bmp	0.5050798	w	12	l	r	l	m	25	3
8101992752	10.bmp	0.5335143	w	10	l	r	l	m	25	3
8101992752	70.bmp	0.7268204	q	2	l	r	l	m	25	3
8101992752	80.bmp	0.7353216	w	3	l	r	l	m	25	3
8101992752	20.bmp	0.7134137	w	3	l	r	l	m	25	3
8101992752	60.bmp	0.5949718	q	11	l	r	l	m	25	3
8101992752	70.bmp	0.6183118	q	10	l	r	l	m	25	3
8101992752	70.bmp	0.6916118	q	13	l	r	l	m	25	3
8101992752	10.bmp	0.6865102	w	2	l	r	l	m	25	3
8101992752	70.bmp	0.6008571	w	1	l	r	l	m	25	3
8101992752	20.bmp	0.5834833	w	2	l	r	l	m	25	3
8101992752	40.bmp	0.5117793	w	8	l	r	l	m	25	3
8101992752	50.bmp	0.5233605	w	2	l	r	l	m	25	3
8101992752	40.bmp	0.8302604	w	11	l	r	l	m	25	3
8101992752	40.bmp	0.4762038	w	5	l	r	l	m	25	3
8101992752	20.bmp	0.5093782	w	6	l	r	l	m	25	3
8101992752	0.bmp	0.444984	w	7	l	r	l	m	25	3
8101992752	20.bmp	0.339129	q	9	l	r	l	m	25	3
8101992752	80.bmp	0.4373311	q	2	l	r	l	m	25	3
8101992752	80.bmp	0.4377457	q	1	l	r	l	m	25	3
8101992752	60.bmp	0.4310574	q	10	l	r	l	m	25	3
8101992752	20.bmp	0.5044185	q	8	l	r	l	m	25	3
8101992752	30.bmp	0.7846125	w	11	l	r	l	m	25	3
8101992752	10.bmp	0.5457226	w	6	l	r	l	m	25	3
8101992752	80.bmp	0.6313728	q	8	l	r	l	m	25	3
8101992752	60.bmp	0.5611948	w	6	l	r	l	m	25	3
8101992752	20.bmp	0.6501581	w	5	l	r	l	m	25	3
8101992752	50.bmp	0.5803846	w	12	l	r	l	m	25	3
8101992752	70.bmp	0.5424538	q	4	l	r	l	m	25	3
8101992752	0.bmp	0.4529912	q	9	l	r	l	m	25	3
8101992752	0.bmp	0.6759754	w	1	l	r	l	m	25	3
8101992752	50.bmp	0.7225815	q	11	l	r	l	m	25	3
8101992752	0.bmp	0.940328	q	8	l	r	l	m	25	3
8101992752	40.bmp	0.5755558	w	13	l	r	l	m	25	3
8101992752	10.bmp	0.6273849	w	1	l	r	l	m	25	3
8101992752	0.bmp	0.6144257	q	3	l	r	l	m	25	3
8101992752	50.bmp	0.6333693	w	6	l	r	l	m	25	3
8101992752	50.bmp	0.6411358	q	3	l	r	l	m	25	3
8101992752	50.bmp	0.5743198	q	1	l	r	l	m	25	3
8101992752	60.bmp	0.6368386	w	1	l	r	l	m	25	3
8101992752	20.bmp	0.6139286	w	8	l	r	l	m	25	3
8101992752	30.bmp	0.7470359	q	6	l	r	l	m	25	3
8101992752	80.bmp	0.731399	w	5	l	r	l	m	25	3
8101992752	50.bmp	0.626438	w	9	l	r	l	m	25	3
8101992752	40.bmp	0.8396816	q	5	l	r	l	m	25	3
8101992752	10.bmp	0.709622	w	8	l	r	l	m	25	3
8101992752	10.bmp	0.67783	w	3	l	r	l	m	25	3
8101992752	30.bmp	0.7303242	q	11	l	r	l	m	25	3
8101992752	60.bmp	0.7680129	q	7	l	r	l	m	25	3
8101992752	20.bmp	0.8708055	w	5	l	r	l	m	25	3
8101992752	70.bmp	0.6660198	w	10	l	r	l	m	25	3
8101992752	80.bmp	0.5827981	w	13	l	r	l	m	25	3
8101992752	0.bmp	0.7089054	q	5	l	r	l	m	25	3
8101992752	20.bmp	0.6166875	w	11	l	r	l	m	25	3
8101992752	0.bmp	1.0069076	w	9	l	r	l	m	25	3
8101992752	0.bmp	0.6968049	q	13	l	r	l	m	25	3
8101992752	70.bmp	0.6867243	w	13	l	r	l	m	25	3
8101992752	70.bmp	0.5959425	w	8	l	r	l	m	25	3
8101992752	80.bmp	0.5332889	w	10	l	r	l	m	25	3
8101992752	20.bmp	0.8375452	w	1	l	r	l	m	25	3
8101992752	30.bmp	0.6523748	w	13	l	r	l	m	25	3
8101992752	20.bmp	0.6645371	w	6	l	r	l	m	25	3
8101992752	50.bmp	0.656078	q	6	l	r	l	m	25	3
8101992752	30.bmp	0.7206666	q	9	l	r	l	m	25	3
8101992752	30.bmp	0.6522818	q	5	l	r	l	m	25	3
8101992752	0.bmp	0.8110843	w	7	l	r	l	m	25	3
8101992752	80.bmp	0.6606956	w	12	l	r	l	m	25	3
8101992752	70.bmp	0.9895714	q	2	l	r	l	m	25	3
8101992752	30.bmp	0.7554231	q	10	l	r	l	m	25	3
8101992752	70.bmp	0.7387101	w	1	l	r	l	m	25	3
8101992752	60.bmp	0.7384549	q	4	l	r	l	m	25	3
8101992752	30.bmp	1.0528059	q	12	l	r	l	m	25	3
8101992752	50.bmp	0.6090344	q	13	l	r	l	m	25	3
8101992752	60.bmp	0.6143236	q	9	l	r	l	m	25	3
8101992752	60.bmp	0.8047365	q	2	l	r	l	m	25	3
8101992752	70.bmp	0.6557461	q	6	l	r	l	m	25	3
8101992752	50.bmp	0.7397786	q	4	l	r	l	m	25	3
8101992752	60.bmp	0.6083314	q	12	l	r	l	m	25	3
8101992752	20.bmp	0.8395088	w	12	l	r	l	m	25	3
8101992752	0.bmp	0.614913	q	3	l	r	l	m	25	3
8101992752	10.bmp	0.7894333	q	10	l	r	l	m	25	3
8101992752	50.bmp	0.6559452	w	2	l	r	l	m	25	3
8101992752	60.bmp	0.7787505	q	10	l	r	l	m	25	3
8101992752	70.bmp	1.0552306	w	5	l	r	l	m	25	3
8101992752	40.bmp	0.6201585	w	11	l	r	l	m	25	3
8101992752	40.bmp	0.6642459	w	7	l	r	l	m	25	3
8101992752	0.bmp	0.6456351	w	10	l	r	l	m	25	3
8101992752	40.bmp	0.8263059	w	8	l	r	l	m	25	3
8101992752	60.bmp	0.6854468	w	6	l	r	l	m	25	3
8101992752	80.bmp	0.5157635	w	8	l	r	l	m	25	3
8101992752	60.bmp	0.5304172	w	11	l	r	l	m	25	3
8101992752	40.bmp	0.5231513	w	10	l	r	l	m	25	3
8101992752	0.bmp	0.7793623	w	8	l	r	l	m	25	3
8101992752	70.bmp	0.7455875	w	7	l	r	l	m	25	3
