sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992522,60.bmp,0.5225088,o,11,r,r,l,f,54,2
8101992522,50.bmp,0.8426275,p,13,r,r,l,f,54,2
8101992522,40.bmp,0.746928,p,1,r,r,l,f,54,2
8101992522,20.bmp,0.4835414,p,5,r,r,l,f,54,2
8101992522,70.bmp,2.7148549,p,7,r,r,l,f,54,2
8101992522,10.bmp,0.4497472,p,13,r,r,l,f,54,2
8101992522,20.bmp,0.4395133,p,12,r,r,l,f,54,2
8101992522,70.bmp,0.3734945,p,3,r,r,l,f,54,2
8101992522,50.bmp,0.45717,p,9,r,r,l,f,54,2
8101992522,60.bmp,0.3702326,p,9,r,r,l,f,54,2
8101992522,10.bmp,0.691437,p,6,r,r,l,f,54,2
8101992522,60.bmp,0.3675933,p,6,r,r,l,f,54,2
8101992522,80.bmp,0.351112,p,13,r,r,l,f,54,2
8101992522,10.bmp,0.5462891,p,4,r,r,l,f,54,2
8101992522,60.bmp,0.798756,p,8,r,r,l,f,54,2
8101992522,0.bmp,3.5371307,p,7,r,r,l,f,54,2
8101992522,30.bmp,0.7684852,p,3,r,r,l,f,54,2
8101992522,20.bmp,0.5691825,p,8,r,r,l,f,54,2
8101992522,40.bmp,0.4420603,p,13,r,r,l,f,54,2
8101992522,80.bmp,0.4233676,p,9,r,r,l,f,54,2
8101992522,50.bmp,0.6129122,p,2,r,r,l,f,54,2
8101992522,0.bmp,0.3983397,p,8,r,r,l,f,54,2
8101992522,80.bmp,0.5497055,p,1,r,r,l,f,54,2
8101992522,40.bmp,0.3643633,p,8,r,r,l,f,54,2
8101992522,10.bmp,0.3959201,p,10,r,r,l,f,54,2
8101992522,40.bmp,0.3392879,p,3,r,r,l,f,54,2
8101992522,30.bmp,0.5250678,p,9,r,r,l,f,54,2
8101992522,70.bmp,0.3770502,p,8,r,r,l,f,54,2
8101992522,80.bmp,0.3906878,p,7,r,r,l,f,54,2
8101992522,0.bmp,0.5388107,p,9,r,r,l,f,54,2
8101992522,0.bmp,0.4737473,p,12,r,r,l,f,54,2
8101992522,70.bmp,0.9876731,p,5,r,r,l,f,54,2
8101992522,60.bmp,0.9048574,p,3,r,r,l,f,54,2
8101992522,40.bmp,0.4090857,p,2,r,r,l,f,54,2
8101992522,30.bmp,0.6721337,p,13,r,r,l,f,54,2
8101992522,30.bmp,0.3646294,p,12,r,r,l,f,54,2
8101992522,10.bmp,0.3819074,p,3,r,r,l,f,54,2
8101992522,30.bmp,0.388769,p,8,r,r,l,f,54,2
8101992522,80.bmp,0.3835072,p,11,r,r,l,f,54,2
8101992522,10.bmp,0.8767575,p,7,r,r,l,f,54,2
8101992522,70.bmp,0.9161706,p,13,r,r,l,f,54,2
8101992522,30.bmp,1.0065473,p,11,r,r,l,f,54,2
8101992522,20.bmp,0.7094008,p,1,r,r,l,f,54,2
8101992522,50.bmp,0.6130598,p,5,r,r,l,f,54,2
8101992522,50.bmp,0.5448844,p,12,r,r,l,f,54,2
8101992522,20.bmp,1.5720079,p,4,r,r,l,f,54,2
8101992522,60.bmp,0.7569952,p,7,r,r,l,f,54,2
8101992522,50.bmp,0.5990483,p,7,r,r,l,f,54,2
8101992522,30.bmp,0.6730696,p,2,r,r,l,f,54,2
8101992522,0.bmp,0.8695335,p,5,r,r,l,f,54,2
8101992522,40.bmp,0.7280267,p,12,r,r,l,f,54,2
8101992522,10.bmp,1.3022933,p,9,r,r,l,f,54,2
8101992522,60.bmp,0.4047715,p,12,r,r,l,f,54,2
8101992522,20.bmp,1.9424453,o,11,r,r,l,f,54,2
8101992522,40.bmp,0.6203118,p,9,r,r,l,f,54,2
8101992522,20.bmp,0.8053488,p,9,r,r,l,f,54,2
8101992522,30.bmp,1.2081704,p,5,r,r,l,f,54,2
8101992522,50.bmp,2.4610014,p,1,r,r,l,f,54,2
8101992522,0.bmp,0.553107,p,13,r,r,l,f,54,2
8101992522,80.bmp,1.0058424,o,8,r,r,l,f,54,2
8101992522,80.bmp,0.8623556,p,6,r,r,l,f,54,2
8101992522,40.bmp,0.9637542,p,4,r,r,l,f,54,2
8101992522,30.bmp,0.7564075,p,4,r,r,l,f,54,2
8101992522,40.bmp,1.2973058,p,5,r,r,l,f,54,2
8101992522,50.bmp,0.6624922,p,10,r,r,l,f,54,2
8101992522,70.bmp,1.0732869,o,4,r,r,l,f,54,2
8101992522,80.bmp,0.5217771,p,5,r,r,l,f,54,2
8101992522,70.bmp,1.5868537,p,1,r,r,l,f,54,2
8101992522,40.bmp,0.766665,p,10,r,r,l,f,54,2
8101992522,70.bmp,1.1827281,o,6,r,r,l,f,54,2
8101992522,20.bmp,0.614008,p,3,r,r,l,f,54,2
8101992522,20.bmp,0.6824723,p,7,r,r,l,f,54,2
8101992522,70.bmp,0.5558302,p,2,r,r,l,f,54,2
8101992522,0.bmp,0.4929175,p,3,r,r,l,f,54,2
8101992522,80.bmp,0.3709572,p,2,r,r,l,f,54,2
8101992522,50.bmp,0.8787742,p,6,r,r,l,f,54,2
8101992522,20.bmp,0.4420921,p,2,r,r,l,f,54,2
8101992522,70.bmp,0.9436279,o,9,r,r,l,f,54,2
8101992522,80.bmp,0.8056845,o,3,r,r,l,f,54,2
8101992522,40.bmp,1.6446159,o,11,r,r,l,f,54,2
8101992522,50.bmp,0.6846287,o,11,r,r,l,f,54,2
8101992522,70.bmp,0.8546117,o,11,r,r,l,f,54,2
8101992522,0.bmp,0.415927,p,2,r,r,l,f,54,2
8101992522,20.bmp,1.1122047,o,6,r,r,l,f,54,2
8101992522,10.bmp,1.2987593,p,5,r,r,l,f,54,2
8101992522,0.bmp,0.7246835,o,11,r,r,l,f,54,2
8101992522,0.bmp,0.636393,p,10,r,r,l,f,54,2
8101992522,0.bmp,0.7385581,o,4,r,r,l,f,54,2
8101992522,60.bmp,0.3422563,p,13,r,r,l,f,54,2
8101992522,10.bmp,0.9711113,p,12,r,r,l,f,54,2
8101992522,60.bmp,0.5402138,p,10,r,r,l,f,54,2
8101992522,40.bmp,0.386402,p,7,r,r,l,f,54,2
8101992522,20.bmp,0.4372553,p,13,r,r,l,f,54,2
8101992522,60.bmp,0.5695796,o,4,r,r,l,f,54,2
8101992522,80.bmp,0.3913589,p,12,r,r,l,f,54,2
8101992522,50.bmp,0.6341909,p,8,r,r,l,f,54,2
8101992522,60.bmp,0.4948165,o,5,r,r,l,f,54,2
8101992522,70.bmp,1.9941833,p,10,r,r,l,f,54,2
8101992522,30.bmp,0.7585679,p,1,r,r,l,f,54,2
8101992522,10.bmp,0.7340815,o,11,r,r,l,f,54,2
8101992522,10.bmp,0.6900596,p,1,r,r,l,f,54,2
8101992522,0.bmp,1.1697751,p,1,r,r,l,f,54,2
8101992522,20.bmp,0.5085565,p,10,r,r,l,f,54,2
8101992522,60.bmp,0.9532102,p,2,r,r,l,f,54,2
8101992522,30.bmp,0.8878915,p,6,r,r,l,f,54,2
8101992522,80.bmp,1.3152474,p,4,r,r,l,f,54,2
8101992522,80.bmp,1.8595888,o,10,r,r,l,f,54,2
8101992522,0.bmp,0.6522197,p,6,r,r,l,f,54,2
8101992522,50.bmp,0.6019122,p,4,r,r,l,f,54,2
8101992522,30.bmp,0.6902449,p,7,r,r,l,f,54,2
8101992522,30.bmp,0.6209453,p,10,r,r,l,f,54,2
8101992522,60.bmp,1.0862668,p,1,r,r,l,f,54,2
