sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992751,30.bmp,1.1377446,o,2,r,r,r,m,23,3
8101992751,0.bmp,0.9188261,p,9,r,r,r,m,23,3
8101992751,10.bmp,0.5747284,o,4,r,r,r,m,23,3
8101992751,80.bmp,0.5099186,p,5,r,r,r,m,23,3
8101992751,70.bmp,0.9010501,o,13,r,r,r,m,23,3
8101992751,30.bmp,0.5526268,p,6,r,r,r,m,23,3
8101992751,20.bmp,0.6136035,o,4,r,r,r,m,23,3
8101992751,70.bmp,0.5587055,p,6,r,r,r,m,23,3
8101992751,30.bmp,0.4653832,o,3,r,r,r,m,23,3
8101992751,50.bmp,0.4193133,p,10,r,r,r,m,23,3
8101992751,30.bmp,0.3022909,o,4,r,r,r,m,23,3
8101992751,10.bmp,0.2929261,p,1,r,r,r,m,23,3
8101992751,80.bmp,0.2931847,o,2,r,r,r,m,23,3
8101992751,40.bmp,0.2734853,p,6,r,r,r,m,23,3
8101992751,70.bmp,0.2862013,o,4,r,r,r,m,23,3
8101992751,20.bmp,0.2853697,p,6,r,r,r,m,23,3
8101992751,30.bmp,0.416414,o,1,r,r,r,m,23,3
8101992751,0.bmp,0.2407486,p,2,r,r,r,m,23,3
8101992751,60.bmp,0.7026422,p,9,r,r,r,m,23,3
8101992751,10.bmp,0.4275172,p,12,r,r,r,m,23,3
8101992751,60.bmp,0.2542592,o,5,r,r,r,m,23,3
8101992751,20.bmp,0.4616407,o,7,r,r,r,m,23,3
8101992751,50.bmp,0.4430821,o,12,r,r,r,m,23,3
8101992751,30.bmp,0.3211458,p,1,r,r,r,m,23,3
8101992751,70.bmp,0.8281051,p,13,r,r,r,m,23,3
8101992751,10.bmp,0.3194776,p,12,r,r,r,m,23,3
8101992751,80.bmp,0.4095269,o,10,r,r,r,m,23,3
8101992751,80.bmp,0.6029998,p,12,r,r,r,m,23,3
8101992751,40.bmp,0.7400476,p,11,r,r,r,m,23,3
8101992751,30.bmp,0.4206052,o,13,r,r,r,m,23,3
8101992751,10.bmp,0.4519916,p,6,r,r,r,m,23,3
8101992751,40.bmp,0.3727271,o,5,r,r,r,m,23,3
8101992751,20.bmp,0.492319,p,9,r,r,r,m,23,3
8101992751,40.bmp,0.4645559,o,8,r,r,r,m,23,3
8101992751,50.bmp,0.4733171,p,11,r,r,r,m,23,3
8101992751,30.bmp,0.581746,o,7,r,r,r,m,23,3
8101992751,50.bmp,0.5217257,p,10,r,r,r,m,23,3
8101992751,40.bmp,0.5001225,o,6,r,r,r,m,23,3
8101992751,80.bmp,0.5142297,p,7,r,r,r,m,23,3
8101992751,60.bmp,0.4844318,o,9,r,r,r,m,23,3
8101992751,10.bmp,0.4374231,p,1,r,r,r,m,23,3
8101992751,80.bmp,0.4752024,o,5,r,r,r,m,23,3
8101992751,70.bmp,0.4492559,p,12,r,r,r,m,23,3
8101992751,70.bmp,0.4349381,o,1,r,r,r,m,23,3
8101992751,40.bmp,0.4015478,p,9,r,r,r,m,23,3
8101992751,60.bmp,0.459568,o,1,r,r,r,m,23,3
8101992751,80.bmp,0.3888147,p,3,r,r,r,m,23,3
8101992751,80.bmp,0.3334094,o,2,r,r,r,m,23,3
8101992751,0.bmp,0.3902701,p,12,r,r,r,m,23,3
8101992751,80.bmp,0.3511541,o,8,r,r,r,m,23,3
8101992751,10.bmp,0.4311686,p,11,r,r,r,m,23,3
8101992751,50.bmp,0.4934027,p,6,r,r,r,m,23,3
8101992751,40.bmp,0.5492695,o,4,r,r,r,m,23,3
8101992751,30.bmp,0.4139121,p,10,r,r,r,m,23,3
8101992751,70.bmp,0.3976652,p,9,r,r,r,m,23,3
8101992751,50.bmp,0.3224757,p,8,r,r,r,m,23,3
8101992751,50.bmp,0.3892939,p,2,r,r,r,m,23,3
8101992751,30.bmp,0.3883815,p,5,r,r,r,m,23,3
8101992751,0.bmp,0.5871062,p,8,r,r,r,m,23,3
8101992751,10.bmp,0.419037,o,10,r,r,r,m,23,3
8101992751,50.bmp,0.3683603,o,7,r,r,r,m,23,3
8101992751,30.bmp,0.2865719,p,2,r,r,r,m,23,3
8101992751,60.bmp,0.3677385,o,6,r,r,r,m,23,3
8101992751,20.bmp,0.3759302,p,4,r,r,r,m,23,3
8101992751,20.bmp,0.3569129,p,3,r,r,r,m,23,3
8101992751,40.bmp,0.3171221,p,13,r,r,r,m,23,3
8101992751,50.bmp,0.2104535,o,13,r,r,r,m,23,3
8101992751,20.bmp,0.3311971,p,12,r,r,r,m,23,3
8101992751,0.bmp,0.330092,o,4,r,r,r,m,23,3
8101992751,70.bmp,0.4166759,p,2,r,r,r,m,23,3
8101992751,0.bmp,0.3219433,o,3,r,r,r,m,23,3
8101992751,10.bmp,0.3192987,p,3,r,r,r,m,23,3
8101992751,50.bmp,0.4770344,o,4,r,r,r,m,23,3
8101992751,20.bmp,0.668402,p,1,r,r,r,m,23,3
8101992751,20.bmp,0.7530885,p,10,r,r,r,m,23,3
8101992751,0.bmp,0.570949,p,11,r,r,r,m,23,3
8101992751,60.bmp,0.5169982,p,5,r,r,r,m,23,3
8101992751,70.bmp,0.6994184,o,8,r,r,r,m,23,3
8101992751,80.bmp,0.4110671,o,4,r,r,r,m,23,3
